date,channel,account_creations,checkout_started
2022-05-25,Customer IO,0,4
2022-05-25,Direct Mail,0,1
2022-05-25,Influencer,0,2
2022-05-25,Meta,0,6
2022-05-25,Organic,0,23
2022-05-25,Other,0,297
2022-05-26,Airbnb,0,0
2022-05-26,Criteo,0,1
2022-05-26,Direct Mail,0,1
2022-05-26,Manual,0,1
2022-05-26,Meta,0,5
2022-05-26,Organic,0,18
2022-05-26,Other,0,306
2022-05-27,Customer IO,0,6
2022-05-27,Direct Mail,0,7
2022-05-27,Email Action,0,1
2022-05-27,Influencer,0,4
2022-05-27,Organic,0,16
2022-05-27,Other,0,297
2022-05-28,Airbnb,0,0
2022-05-28,Customer IO,0,5
2022-05-28,Direct Mail,0,1
2022-05-28,Google,0,2
2022-05-28,Meta,0,4
2022-05-28,Organic,0,14
2022-05-28,Other,0,159
2022-05-29,Customer IO,0,5
2022-05-29,Direct Mail,0,4
2022-05-29,Influencer,0,1
2022-05-29,Meta,0,1
2022-05-29,Organic,0,10
2022-05-29,Other,0,164
2022-05-30,Customer IO,0,2
2022-05-30,Direct Mail,0,1
2022-05-30,Google,0,3
2022-05-30,Organic,0,31
2022-05-30,Other,0,163
2022-05-31,Airbnb,0,0
2022-05-31,Direct Mail,0,4
2022-05-31,Google,0,1
2022-05-31,Meta,0,6
2022-05-31,Organic,0,28
2022-05-31,Other,0,263
2022-06-01,Customer IO,0,13
2022-06-01,Google,0,3
2022-06-01,Meta,0,2
2022-06-01,Organic,0,41
2022-06-01,Other,0,238
2022-06-02,Airbnb,0,0
2022-06-02,Customer IO,0,3
2022-06-02,Direct Mail,0,5
2022-06-02,Google,0,8
2022-06-02,Influencer,0,7
2022-06-02,Organic,0,27
2022-06-02,Other,0,482
2022-06-03,Airbnb,0,0
2022-06-03,Customer IO,0,17
2022-06-03,Direct Mail,0,2
2022-06-03,Influencer,0,1
2022-06-03,Meta,0,3
2022-06-03,Organic,0,38
2022-06-03,Other,0,456
2022-06-04,Customer IO,0,6
2022-06-04,Direct Mail,0,1
2022-06-04,Google,0,2
2022-06-04,Influencer,0,2
2022-06-04,Meta,0,4
2022-06-04,Organic,0,44
2022-06-04,Other,0,402
2022-06-05,Criteo,0,1
2022-06-05,Customer IO,0,10
2022-06-05,Direct Mail,0,18
2022-06-05,Google,0,2
2022-06-05,Meta,0,3
2022-06-05,Organic,0,32
2022-06-05,Other,0,479
2022-06-06,Customer IO,0,5
2022-06-06,Direct Mail,0,8
2022-06-06,Google,0,7
2022-06-06,Meta,0,4
2022-06-06,Organic,0,15
2022-06-06,Other,0,397
2022-06-07,Customer IO,0,4
2022-06-07,Direct Mail,0,3
2022-06-07,Google,0,1
2022-06-07,Influencer,0,1
2022-06-07,Organic,0,41
2022-06-07,Other,0,339
2022-06-08,Customer IO,0,1
2022-06-08,Direct Mail,0,11
2022-06-08,Google,0,4
2022-06-08,Meta,0,5
2022-06-08,Organic,0,36
2022-06-08,Other,0,343
2022-06-09,Customer IO,0,7
2022-06-09,Direct Mail,0,10
2022-06-09,Google,0,8
2022-06-09,Influencer,0,1
2022-06-09,Meta,0,5
2022-06-09,Organic,0,46
2022-06-09,Other,0,398
2022-06-10,Customer IO,0,9
2022-06-10,Direct Mail,0,6
2022-06-10,Influencer,0,1
2022-06-10,Organic,0,38
2022-06-10,Other,0,343
2022-06-11,Customer IO,0,5
2022-06-11,Influencer,0,3
2022-06-11,Meta,0,14
2022-06-11,Organic,0,37
2022-06-11,Other,0,330
2022-06-12,Customer IO,0,2
2022-06-12,Direct Mail,0,4
2022-06-12,Google,0,1
2022-06-12,Influencer,0,4
2022-06-12,Organic,0,40
2022-06-12,Other,0,396
2022-06-13,Airbnb,0,0
2022-06-13,Customer IO,0,4
2022-06-13,Direct Mail,0,4
2022-06-13,Influencer,0,2
2022-06-13,Meta,0,6
2022-06-13,Organic,0,39
2022-06-13,Other,0,326
2022-06-14,Direct Mail,0,2
2022-06-14,Google,0,3
2022-06-14,Organic,0,12
2022-06-14,Other,0,346
2022-06-15,Customer IO,0,13
2022-06-15,Direct Mail,0,17
2022-06-15,Google,0,10
2022-06-15,Influencer,0,1
2022-06-15,Meta,0,2
2022-06-15,Organic,0,37
2022-06-15,Other,0,330
2022-06-16,Customer IO,0,9
2022-06-16,Direct Mail,0,11
2022-06-16,Google,0,3
2022-06-16,Influencer,0,1
2022-06-16,Meta,0,1
2022-06-16,Organic,0,48
2022-06-16,Other,0,290
2022-06-17,Criteo,0,1
2022-06-17,Customer IO,0,14
2022-06-17,Direct Mail,0,6
2022-06-17,Google,0,2
2022-06-17,Meta,0,1
2022-06-17,Organic,0,35
2022-06-17,Other,0,238
2022-06-18,Customer IO,0,9
2022-06-18,Direct Mail,0,5
2022-06-18,Google,0,3
2022-06-18,Meta,0,1
2022-06-18,Organic,0,29
2022-06-18,Other,0,261
2022-06-19,Customer IO,0,16
2022-06-19,Direct Mail,0,19
2022-06-19,Google,0,9
2022-06-19,Meta,0,1
2022-06-19,Organic,0,46
2022-06-19,Other,0,266
2022-06-20,Customer IO,0,8
2022-06-20,Direct Mail,0,4
2022-06-20,Google,0,8
2022-06-20,Meta,0,1
2022-06-20,Organic,0,39
2022-06-20,Other,0,247
2022-06-21,Airbnb,0,0
2022-06-21,Customer IO,0,4
2022-06-21,Direct Mail,0,1
2022-06-21,Google,0,2
2022-06-21,Meta,0,2
2022-06-21,Organic,0,29
2022-06-21,Other,0,310
2022-06-22,Airbnb,0,0
2022-06-22,Customer IO,0,4
2022-06-22,Direct Mail,0,8
2022-06-22,Google,0,6
2022-06-22,Influencer,0,1
2022-06-22,Meta,0,2
2022-06-22,Organic,0,30
2022-06-22,Other,0,224
2022-06-23,Airbnb,0,0
2022-06-23,Customer IO,0,6
2022-06-23,Direct Mail,0,8
2022-06-23,Google,0,4
2022-06-23,Influencer,0,2
2022-06-23,Organic,0,24
2022-06-23,Other,0,190
2022-06-24,Customer IO,0,14
2022-06-24,Direct Mail,0,12
2022-06-24,Google,0,6
2022-06-24,Meta,0,2
2022-06-24,Organic,0,62
2022-06-24,Other,0,275
2022-06-25,Customer IO,0,13
2022-06-25,Direct Mail,0,8
2022-06-25,Google,1,9
2022-06-25,Influencer,0,3
2022-06-25,Meta,1,2
2022-06-25,Organic,16,66
2022-06-25,Other,1,262
2022-06-26,Customer IO,1,8
2022-06-26,Direct Mail,0,2
2022-06-26,Google,2,6
2022-06-26,Meta,1,3
2022-06-26,Organic,13,77
2022-06-26,Other,0,245
2022-06-27,Customer IO,0,4
2022-06-27,Direct Mail,1,6
2022-06-27,Google,2,9
2022-06-27,Meta,2,5
2022-06-27,Organic,17,57
2022-06-27,Other,0,240
2022-06-28,Customer IO,0,9
2022-06-28,Direct Mail,1,5
2022-06-28,Google,1,1
2022-06-28,Meta,3,7
2022-06-28,Organic,10,65
2022-06-28,Other,1,228
2022-06-29,Airbnb,0,0
2022-06-29,Customer IO,0,8
2022-06-29,Direct Mail,0,4
2022-06-29,Google,1,5
2022-06-29,Meta,3,3
2022-06-29,Organic,11,67
2022-06-29,Other,0,209
2022-06-30,Customer IO,0,1
2022-06-30,Direct Mail,0,8
2022-06-30,Google,2,3
2022-06-30,Influencer,0,2
2022-06-30,Meta,0,1
2022-06-30,Organic,11,64
2022-06-30,Other,0,208
2022-07-01,Airbnb,0,0
2022-07-01,Customer IO,0,4
2022-07-01,Direct Mail,0,10
2022-07-01,Google,2,14
2022-07-01,Influencer,0,1
2022-07-01,Meta,6,13
2022-07-01,Organic,14,99
2022-07-01,Other,0,276
2022-07-02,Customer IO,0,22
2022-07-02,Direct Mail,4,19
2022-07-02,Google,14,35
2022-07-02,Influencer,0,2
2022-07-02,Meta,5,11
2022-07-02,Organic,99,211
2022-07-02,Other,0,506
2022-07-03,Customer IO,0,5
2022-07-03,Direct Mail,2,11
2022-07-03,Google,5,13
2022-07-03,Influencer,0,2
2022-07-03,Meta,5,7
2022-07-03,Organic,91,302
2022-07-03,Other,0,458
2022-07-04,Customer IO,0,8
2022-07-04,Direct Mail,1,6
2022-07-04,Google,1,5
2022-07-04,Influencer,0,1
2022-07-04,Meta,0,3
2022-07-04,Organic,43,143
2022-07-04,Other,0,413
2022-07-05,Customer IO,2,21
2022-07-05,Direct Mail,2,17
2022-07-05,Google,4,14
2022-07-05,Influencer,2,3
2022-07-05,Meta,0,5
2022-07-05,Organic,50,118
2022-07-05,Other,0,399
2022-07-06,Customer IO,0,15
2022-07-06,Direct Mail,4,16
2022-07-06,Google,5,10
2022-07-06,Meta,4,8
2022-07-06,Organic,31,120
2022-07-06,Other,0,385
2022-07-07,Customer IO,1,10
2022-07-07,Direct Mail,2,28
2022-07-07,Google,9,22
2022-07-07,Influencer,0,3
2022-07-07,Meta,4,6
2022-07-07,Organic,23,94
2022-07-07,Other,0,346
2022-07-08,Customer IO,0,6
2022-07-08,Direct Mail,1,3
2022-07-08,Google,2,11
2022-07-08,Meta,1,1
2022-07-08,Organic,18,50
2022-07-08,Other,0,267
2022-07-09,Customer IO,0,8
2022-07-09,Direct Mail,1,2
2022-07-09,Google,5,13
2022-07-09,Influencer,0,2
2022-07-09,Meta,2,2
2022-07-09,Organic,19,53
2022-07-09,Other,0,308
2022-07-09,Pinterest,0,1
2022-07-10,Airbnb,0,0
2022-07-10,Customer IO,0,8
2022-07-10,Direct Mail,0,6
2022-07-10,Google,10,21
2022-07-10,Meta,1,5
2022-07-10,Organic,17,64
2022-07-10,Other,0,351
2022-07-11,Customer IO,1,3
2022-07-11,Direct Mail,0,3
2022-07-11,Google,10,17
2022-07-11,Meta,1,8
2022-07-11,Organic,22,73
2022-07-11,Other,0,290
2022-07-12,Customer IO,1,15
2022-07-12,Direct Mail,1,9
2022-07-12,Google,5,16
2022-07-12,Influencer,0,1
2022-07-12,Meta,0,2
2022-07-12,Organic,21,84
2022-07-12,Other,0,322
2022-07-13,Airbnb,0,0
2022-07-13,Customer IO,1,10
2022-07-13,Direct Mail,1,5
2022-07-13,Google,8,21
2022-07-13,Meta,0,1
2022-07-13,Organic,18,54
2022-07-13,Other,0,227
2022-07-14,Customer IO,0,7
2022-07-14,Direct Mail,1,15
2022-07-14,Google,4,12
2022-07-14,Meta,0,4
2022-07-14,Organic,16,69
2022-07-14,Other,0,229
2022-07-15,Customer IO,0,5
2022-07-15,Direct Mail,3,12
2022-07-15,Google,6,16
2022-07-15,Influencer,1,3
2022-07-15,Meta,2,4
2022-07-15,Organic,15,74
2022-07-15,Other,0,245
2022-07-16,Customer IO,0,1
2022-07-16,Direct Mail,0,5
2022-07-16,Google,1,2
2022-07-16,Meta,1,4
2022-07-16,Organic,10,50
2022-07-16,Other,0,255
2022-07-17,Customer IO,0,2
2022-07-17,Direct Mail,1,12
2022-07-17,Google,11,24
2022-07-17,Meta,1,5
2022-07-17,Organic,10,51
2022-07-17,Other,0,302
2022-07-18,Customer IO,2,6
2022-07-18,Direct Mail,1,9
2022-07-18,Google,9,15
2022-07-18,Influencer,1,2
2022-07-18,Meta,2,1
2022-07-18,Organic,16,81
2022-07-18,Other,0,276
2022-07-19,Customer IO,0,5
2022-07-19,Direct Mail,4,8
2022-07-19,Google,3,4
2022-07-19,Influencer,0,3
2022-07-19,Meta,5,15
2022-07-19,Organic,16,53
2022-07-19,Other,0,298
2022-07-20,Customer IO,0,10
2022-07-20,Direct Mail,1,6
2022-07-20,Google,9,16
2022-07-20,Meta,5,8
2022-07-20,Organic,10,54
2022-07-20,Other,1,296
2022-07-21,Customer IO,0,7
2022-07-21,Direct Mail,2,4
2022-07-21,Google,10,18
2022-07-21,Meta,3,13
2022-07-21,Organic,17,79
2022-07-21,Other,1,279
2022-07-22,Customer IO,0,2
2022-07-22,Direct Mail,2,16
2022-07-22,Google,6,9
2022-07-22,Meta,0,1
2022-07-22,Organic,10,49
2022-07-22,Other,1,264
2022-07-22,Pinterest,0,7
2022-07-23,Customer IO,0,3
2022-07-23,Direct Mail,2,3
2022-07-23,Google,9,23
2022-07-23,Meta,1,3
2022-07-23,Organic,6,40
2022-07-23,Other,0,285
2022-07-24,Airbnb,0,0
2022-07-24,Customer IO,0,5
2022-07-24,Direct Mail,2,9
2022-07-24,Google,13,19
2022-07-24,Meta,1,4
2022-07-24,Organic,8,46
2022-07-24,Other,0,322
2022-07-25,Customer IO,0,6
2022-07-25,Direct Mail,0,2
2022-07-25,Google,11,16
2022-07-25,Meta,3,8
2022-07-25,Organic,11,72
2022-07-25,Other,0,255
2022-07-26,Customer IO,0,3
2022-07-26,Google,15,25
2022-07-26,Meta,1,4
2022-07-26,Organic,18,69
2022-07-26,Other,0,321
2022-07-27,Criteo,0,2
2022-07-27,Customer IO,0,4
2022-07-27,Direct Mail,6,13
2022-07-27,Google,7,14
2022-07-27,Meta,6,12
2022-07-27,Organic,14,51
2022-07-27,Other,0,206
2022-07-28,Customer IO,0,4
2022-07-28,Direct Mail,1,6
2022-07-28,Google,10,19
2022-07-28,Meta,3,6
2022-07-28,Organic,16,65
2022-07-28,Other,0,243
2022-07-29,Criteo,0,1
2022-07-29,Customer IO,1,11
2022-07-29,Direct Mail,1,1
2022-07-29,Google,6,7
2022-07-29,Influencer,2,0
2022-07-29,Meta,1,4
2022-07-29,Organic,13,38
2022-07-29,Other,0,237
2022-07-30,Criteo,0,6
2022-07-30,Customer IO,0,13
2022-07-30,Direct Mail,2,7
2022-07-30,Google,5,10
2022-07-30,Influencer,0,3
2022-07-30,Meta,4,4
2022-07-30,Organic,16,77
2022-07-30,Other,1,299
2022-07-31,Customer IO,0,12
2022-07-31,Direct Mail,0,11
2022-07-31,Google,4,9
2022-07-31,Influencer,0,2
2022-07-31,Manual,0,1
2022-07-31,Organic,29,89
2022-07-31,Other,0,313
2022-08-01,Benefithub,0,1
2022-08-01,Customer IO,0,5
2022-08-01,Direct Mail,0,3
2022-08-01,Google,2,19
2022-08-01,Meta,2,3
2022-08-01,Organic,23,93
2022-08-01,Other,0,200
2022-08-02,Customer IO,1,2
2022-08-02,Direct Mail,1,8
2022-08-02,Google,4,8
2022-08-02,Meta,1,2
2022-08-02,Organic,25,78
2022-08-02,Other,0,238
2022-08-03,Customer IO,0,12
2022-08-03,Direct Mail,1,9
2022-08-03,Google,3,12
2022-08-03,Meta,0,1
2022-08-03,Organic,17,60
2022-08-03,Other,0,288
2022-08-04,Customer IO,0,9
2022-08-04,Direct Mail,1,5
2022-08-04,Google,3,8
2022-08-04,Meta,3,11
2022-08-04,Organic,18,56
2022-08-04,Other,1,259
2022-08-05,Customer IO,1,7
2022-08-05,Direct Mail,2,2
2022-08-05,Google,3,5
2022-08-05,Meta,1,2
2022-08-05,Organic,32,81
2022-08-05,Other,0,175
2022-08-06,Customer IO,1,9
2022-08-06,Direct Mail,1,6
2022-08-06,Google,2,1
2022-08-06,Meta,2,5
2022-08-06,Organic,22,64
2022-08-06,Other,0,286
2022-08-07,Customer IO,1,6
2022-08-07,Direct Mail,0,2
2022-08-07,Google,4,5
2022-08-07,Meta,2,10
2022-08-07,Organic,24,77
2022-08-07,Other,0,303
2022-08-08,Customer IO,0,2
2022-08-08,Direct Mail,0,5
2022-08-08,Google,5,11
2022-08-08,Meta,3,5
2022-08-08,Organic,21,51
2022-08-08,Other,0,277
2022-08-09,Customer IO,0,7
2022-08-09,Direct Mail,3,14
2022-08-09,Google,6,14
2022-08-09,Meta,2,7
2022-08-09,Organic,34,112
2022-08-09,Other,0,303
2022-08-10,Customer IO,0,6
2022-08-10,Direct Mail,1,9
2022-08-10,Google,9,17
2022-08-10,Meta,0,1
2022-08-10,Organic,28,57
2022-08-10,Other,0,253
2022-08-11,Customer IO,1,4
2022-08-11,Direct Mail,1,13
2022-08-11,Google,4,19
2022-08-11,Organic,31,87
2022-08-11,Other,0,188
2022-08-12,Customer IO,0,9
2022-08-12,Direct Mail,1,6
2022-08-12,Google,3,13
2022-08-12,Meta,0,2
2022-08-12,Organic,19,54
2022-08-12,Other,0,168
2022-08-13,Customer IO,0,3
2022-08-13,Direct Mail,1,3
2022-08-13,Google,6,12
2022-08-13,Meta,0,5
2022-08-13,Organic,21,74
2022-08-13,Other,0,258
2022-08-14,Customer IO,0,6
2022-08-14,Direct Mail,0,3
2022-08-14,Google,3,3
2022-08-14,Organic,31,82
2022-08-14,Other,0,233
2022-08-15,Criteo,0,2
2022-08-15,Customer IO,0,3
2022-08-15,Direct Mail,1,6
2022-08-15,Google,2,5
2022-08-15,Meta,1,3
2022-08-15,Organic,30,83
2022-08-15,Other,1,207
2022-08-16,Customer IO,0,2
2022-08-16,Direct Mail,2,7
2022-08-16,Google,4,9
2022-08-16,Organic,30,84
2022-08-16,Other,0,252
2022-08-17,Customer IO,0,28
2022-08-17,Direct Mail,2,3
2022-08-17,Google,3,5
2022-08-17,Influencer,1,1
2022-08-17,Meta,0,3
2022-08-17,Organic,31,103
2022-08-17,Other,0,183
2022-08-18,Airbnb,0,0
2022-08-18,Customer IO,1,9
2022-08-18,Direct Mail,1,20
2022-08-18,Google,7,12
2022-08-18,Influencer,0,3
2022-08-18,Meta,2,2
2022-08-18,Organic,38,168
2022-08-18,Other,0,323
2022-08-19,Customer IO,1,6
2022-08-19,Direct Mail,1,11
2022-08-19,Google,6,32
2022-08-19,Meta,3,8
2022-08-19,Organic,29,69
2022-08-19,Other,0,254
2022-08-20,Customer IO,1,7
2022-08-20,Direct Mail,2,11
2022-08-20,Google,6,11
2022-08-20,Meta,1,2
2022-08-20,Organic,25,90
2022-08-20,Other,1,248
2022-08-21,Customer IO,0,2
2022-08-21,Direct Mail,1,15
2022-08-21,Google,6,10
2022-08-21,Influencer,0,2
2022-08-21,Meta,2,2
2022-08-21,Organic,19,46
2022-08-21,Other,0,240
2022-08-22,Customer IO,2,3
2022-08-22,Direct Mail,2,8
2022-08-22,Google,3,15
2022-08-22,Meta,1,4
2022-08-22,Organic,30,106
2022-08-22,Other,0,268
2022-08-23,Customer IO,0,13
2022-08-23,Direct Mail,0,4
2022-08-23,Google,7,10
2022-08-23,Influencer,0,2
2022-08-23,Meta,1,1
2022-08-23,Organic,34,82
2022-08-23,Other,2,220
2022-08-24,Customer IO,1,10
2022-08-24,Direct Mail,1,18
2022-08-24,Google,2,7
2022-08-24,Meta,5,6
2022-08-24,Organic,47,102
2022-08-24,Other,0,268
2022-08-25,Customer IO,0,5
2022-08-25,Direct Mail,1,21
2022-08-25,Google,4,5
2022-08-25,Meta,1,2
2022-08-25,Organic,34,86
2022-08-25,Other,1,231
2022-08-26,Customer IO,1,12
2022-08-26,Direct Mail,0,2
2022-08-26,Google,10,13
2022-08-26,Meta,4,24
2022-08-26,Organic,25,82
2022-08-26,Other,1,209
2022-08-27,Customer IO,0,20
2022-08-27,Direct Mail,2,4
2022-08-27,Google,3,5
2022-08-27,Meta,4,7
2022-08-27,Organic,22,70
2022-08-27,Other,0,236
2022-08-28,Airbnb,0,0
2022-08-28,Customer IO,0,10
2022-08-28,Direct Mail,1,3
2022-08-28,Google,7,12
2022-08-28,Meta,1,1
2022-08-28,Organic,23,78
2022-08-28,Other,0,264
2022-08-29,Customer IO,0,11
2022-08-29,Direct Mail,2,3
2022-08-29,Google,11,24
2022-08-29,Meta,0,6
2022-08-29,Organic,29,88
2022-08-29,Other,0,220
2022-08-29,Pinterest,1,5
2022-08-30,Customer IO,0,13
2022-08-30,Direct Mail,4,11
2022-08-30,Google,2,2
2022-08-30,Influencer,0,1
2022-08-30,Meta,1,3
2022-08-30,Organic,39,140
2022-08-30,Other,0,310
2022-08-31,Customer IO,1,7
2022-08-31,Direct Mail,1,5
2022-08-31,Google,1,3
2022-08-31,Organic,33,83
2022-08-31,Other,1,289
2022-09-01,Airbnb,0,0
2022-09-01,Customer IO,0,2
2022-09-01,Direct Mail,0,6
2022-09-01,Google,3,5
2022-09-01,Meta,4,5
2022-09-01,Organic,34,80
2022-09-01,Other,0,185
2022-09-02,Customer IO,0,6
2022-09-02,Direct Mail,0,3
2022-09-02,Google,4,8
2022-09-02,Meta,0,10
2022-09-02,Organic,22,76
2022-09-02,Other,0,152
2022-09-03,Customer IO,0,4
2022-09-03,Direct Mail,1,3
2022-09-03,Google,1,4
2022-09-03,Organic,19,74
2022-09-03,Other,0,235
2022-09-04,Customer IO,0,15
2022-09-04,Direct Mail,2,5
2022-09-04,Google,3,11
2022-09-04,Organic,10,40
2022-09-04,Other,0,200
2022-09-05,Customer IO,0,4
2022-09-05,Direct Mail,0,12
2022-09-05,Google,1,8
2022-09-05,Influencer,0,4
2022-09-05,Organic,17,57
2022-09-05,Other,0,189
2022-09-06,Customer IO,0,8
2022-09-06,Direct Mail,1,2
2022-09-06,Google,2,4
2022-09-06,Organic,30,75
2022-09-06,Other,0,78
2022-09-07,Customer IO,0,6
2022-09-07,Direct Mail,1,6
2022-09-07,Google,3,11
2022-09-07,Organic,15,79
2022-09-07,Other,0,132
2022-09-08,Airbnb,0,0
2022-09-08,Customer IO,0,8
2022-09-08,Direct Mail,1,1
2022-09-08,Google,2,4
2022-09-08,Organic,17,72
2022-09-08,Other,0,71
2022-09-09,Customer IO,0,8
2022-09-09,Direct Mail,2,5
2022-09-09,Google,4,13
2022-09-09,Meta,0,1
2022-09-09,Organic,14,53
2022-09-09,Other,1,184
2022-09-10,Customer IO,1,25
2022-09-10,Direct Mail,3,19
2022-09-10,Google,5,11
2022-09-10,Manual,0,1
2022-09-10,Meta,0,16
2022-09-10,Organic,11,127
2022-09-10,Other,0,364
2022-09-11,Airbnb,0,0
2022-09-11,Customer IO,0,16
2022-09-11,Direct Mail,1,12
2022-09-11,Google,5,9
2022-09-11,Meta,0,7
2022-09-11,Organic,22,107
2022-09-11,Other,0,314
2022-09-12,Airbnb,0,0
2022-09-12,Booking,0,0
2022-09-12,Customer IO,1,7
2022-09-12,Direct Mail,0,18
2022-09-12,Google,3,15
2022-09-12,Meta,0,22
2022-09-12,Organic,26,109
2022-09-12,Other,1,241
2022-09-13,Airbnb,0,0
2022-09-13,Booking,0,0
2022-09-13,Customer IO,0,3
2022-09-13,Direct Mail,0,12
2022-09-13,Google,2,3
2022-09-13,Organic,21,68
2022-09-13,Other,0,152
2022-09-14,Customer IO,0,9
2022-09-14,Direct Mail,1,9
2022-09-14,Google,3,8
2022-09-14,Meta,0,3
2022-09-14,Organic,20,73
2022-09-14,Other,2,172
2022-09-15,Customer IO,0,3
2022-09-15,Direct Mail,2,4
2022-09-15,Google,1,3
2022-09-15,Meta,2,2
2022-09-15,Organic,15,36
2022-09-15,Other,0,197
2022-09-16,Airbnb,0,0
2022-09-16,Customer IO,0,20
2022-09-16,Direct Mail,1,8
2022-09-16,Google,3,4
2022-09-16,Influencer,0,3
2022-09-16,Meta,0,2
2022-09-16,Organic,12,49
2022-09-16,Other,0,221
2022-09-17,Customer IO,0,14
2022-09-17,Direct Mail,4,13
2022-09-17,Google,2,10
2022-09-17,Meta,0,2
