date,channel,bookings,gmv
2022-09-12,Other,3,17529.75
2022-09-13,Airbnb,1,3637.5
2022-09-13,Other,1,1200.0
2022-09-14,Other,4,10496.1
2022-09-15,Other,3,7225.0
2022-09-16,Airbnb,1,2070.95
2022-09-16,Other,1,3355.0
2022-09-17,Other,2,5739.0
2022-09-18,Airbnb,2,3983.79
2022-09-18,Other,4,14005.0
2022-09-19,Other,1,3196.0
2022-09-20,Other,1,7500.0
2022-09-21,Airbnb,2,6379.69
2022-09-21,Other,2,4732.9
2022-09-22,Airbnb,1,2325.09
2022-09-22,Other,1,2169.0
2022-09-24,Other,1,3301.25
2022-09-25,Airbnb,1,2435.64
2022-09-26,Airbnb,2,6092.57
2022-09-27,Airbnb,1,2306.66
2022-09-27,Other,4,10925.0
2022-09-28,Other,1,2107.0
2022-09-29,Airbnb,1,4689.95
2022-09-29,Other,5,16292.5
2022-09-30,Other,3,4690.0
2022-10-01,Airbnb,1,2200.93
2022-10-01,Other,1,3240.5
2022-10-02,Other,2,7672.55
2022-10-03,Other,3,4729.0
2022-10-04,Airbnb,2,5451.4
2022-10-04,Booking,1,3288.0
2022-10-05,Airbnb,1,3637.5
2022-10-07,Other,2,20543.8
2022-10-08,Other,5,18441.65
2022-10-09,Airbnb,1,3104.0
2022-10-09,Other,4,8399.89
2022-10-10,Airbnb,1,2308.6
2022-10-10,Other,3,13189.92
2022-10-12,Airbnb,1,2201.45
2022-10-12,Other,1,0.0
2022-10-13,Other,1,2123.95
2022-10-14,Other,2,4486.51
2022-10-15,Airbnb,2,3562.81
2022-10-16,Airbnb,2,16030.05
2022-10-16,Other,1,1759.87
2022-10-17,Other,1,0.0
2022-10-18,Airbnb,4,12105.6
2022-10-18,Other,1,1763.94
2022-10-19,Other,2,5887.07
2022-10-20,Other,1,1785.0
2022-10-21,Other,1,0.0
2022-10-22,Other,1,2136.05
2022-10-23,Airbnb,1,19283.6
2022-10-25,Other,3,9215.7
2022-10-26,Other,3,4247.85
2022-10-28,Other,1,1487.3
2022-10-30,Airbnb,2,3550.2
2022-10-31,Other,1,2197.8
2022-11-01,Airbnb,1,2377.47
2022-11-01,Other,3,7010.87
2022-11-02,Other,1,2150.0
2022-11-03,Airbnb,1,6822.01
2022-11-03,Other,2,841.0
2022-11-04,Airbnb,1,0.0
2022-11-04,Other,1,18408.0
2022-11-05,Airbnb,1,1991.41
2022-11-05,Other,1,3553.0
2022-11-06,Airbnb,1,8632.03
2022-11-06,Other,2,5354.0
2022-11-07,Other,4,18576.11
2022-11-08,Customer IO,1,2543.71
2022-11-08,Organic,1,4610.35
2022-11-08,Other,1,0.0
2022-11-09,Direct Mail,1,2317.36
2022-11-09,Organic,2,3495.0
2022-11-10,Airbnb,1,2022.45
2022-11-11,Other,1,13877.93
2022-11-12,Google,1,23420.33
2022-11-12,Other,1,1864.0
2022-11-16,Airbnb,1,1955.52
2022-11-16,Organic,2,4061.0
2022-11-18,Airbnb,1,5044.97
2022-11-18,Other,1,3978.0
2022-11-19,Airbnb,1,3433.8
2022-11-19,Organic,1,5985.0
2022-11-20,Google,1,3619.15
2022-11-20,Other,1,371.25
2022-11-21,Airbnb,1,3012.82
2022-11-21,Organic,1,1691.8
2022-11-21,Other,1,0.0
2022-11-22,Airbnb,2,11972.71
2022-11-22,Organic,3,9955.92
2022-11-24,Airbnb,1,3580.27
2022-11-24,Other,1,3246.18
2022-11-25,Organic,3,5494.44
2022-11-26,Organic,2,7343.54
2022-11-26,Other,3,6299.88
2022-11-27,Customer IO,1,1485.0
2022-11-27,Organic,3,8935.74
2022-11-27,Other,1,1980.5
2022-11-28,Airbnb,1,3433.8
2022-11-28,Customer IO,1,1339.05
2022-11-28,Direct Mail,1,2653.04
2022-11-28,Other,1,4131.0
2022-11-29,Customer IO,2,8161.97
2022-11-29,Other,1,1339.05
2022-11-30,Organic,3,8089.51
2022-11-30,Other,4,24822.04
2022-12-01,Airbnb,1,8730.0
2022-12-01,Google,1,1754.4
2022-12-01,Organic,2,9499.68
2022-12-02,Airbnb,1,4130.26
2022-12-02,Customer IO,1,2837.94
2022-12-02,Organic,1,2283.68
2022-12-02,Other,1,2490.84
2022-12-03,Organic,1,4764.0
2022-12-04,Airbnb,1,1981.71
2022-12-04,Organic,1,5362.24
2022-12-06,Customer IO,1,7321.13
2022-12-06,Organic,1,1215.0
2022-12-07,Airbnb,2,14988.44
2022-12-07,Customer IO,1,13340.01
2022-12-07,Organic,1,6753.28
2022-12-08,Organic,1,12194.24
2022-12-09,Other,1,2222.43
2022-12-10,Airbnb,1,8249.85
2022-12-10,Direct Mail,1,2802.15
2022-12-10,Other,2,12163.64
2022-12-11,Other,1,3611.75
2022-12-12,Organic,1,2455.15
2022-12-13,Airbnb,2,12062.92
2022-12-13,Organic,2,3505.1
2022-12-14,Airbnb,1,7622.26
2022-12-14,Organic,1,2648.43
2022-12-14,Other,2,3977.27
2022-12-15,Booking,1,3657.0
2022-12-15,Meta,1,1435.73
2022-12-15,Organic,1,5644.7
2022-12-15,Other,2,4576.27
2022-12-16,Other,1,1777.5
2022-12-17,Google,1,3199.0
2022-12-18,Organic,1,2778.03
2022-12-20,Google,1,2233.95
2022-12-20,Other,1,1934.88
2022-12-22,Direct Mail,1,13811.52
2022-12-23,Customer IO,1,5610.0
2022-12-23,Other,1,3733.0
2022-12-24,Organic,1,2163.22
2022-12-25,Organic,1,3921.52
2022-12-26,Airbnb,1,19836.5
2022-12-26,Organic,1,3115.97
2022-12-27,Organic,1,4216.61
2022-12-27,Other,1,4218.78
2022-12-28,Airbnb,1,2964.32
2022-12-28,Organic,1,11978.53
2022-12-29,Airbnb,1,2238.76
2022-12-30,Organic,1,6071.7
2022-12-31,Customer IO,1,2325.19
2022-12-31,Other,1,4526.43
2023-01-03,Airbnb,1,4048.78
2023-01-03,Other,2,4410.9
2023-01-04,Direct Mail,1,2560.3
2023-01-05,Airbnb,1,5703.6
2023-01-05,Organic,2,7395.65
2023-01-06,Other,2,2428.07
2023-01-07,Airbnb,1,10227.68
2023-01-07,Other,2,3966.29
2023-01-08,Customer IO,1,4126.43
2023-01-08,Organic,2,7445.86
2023-01-09,Airbnb,1,9287.75
2023-01-09,Organic,2,12712.58
2023-01-09,Other,1,1198.39
2023-01-11,Airbnb,1,18679.29
2023-01-11,Organic,3,24952.12
2023-01-11,Other,1,2310.0
2023-01-12,Airbnb,1,2444.4
2023-01-12,Customer IO,2,4936.32
2023-01-14,Organic,1,3548.7
2023-01-14,Other,2,5485.0
2023-01-15,Direct Mail,1,2693.42
2023-01-15,Organic,2,12921.58
2023-01-15,Other,1,1460.0
2023-01-16,Airbnb,1,4127.35
2023-01-16,Organic,2,9589.57
2023-01-16,Other,1,1820.9
2023-01-17,Direct Mail,1,3650.64
2023-01-17,Google,1,3597.6
2023-01-17,Organic,2,12500.17
2023-01-17,Other,1,1590.0
2023-01-18,Airbnb,2,9744.62
2023-01-18,Google,1,2174.83
2023-01-18,Organic,2,24091.54
2023-01-19,Direct Mail,3,9404.91
2023-01-19,Organic,1,766.33
2023-01-19,Other,1,1605.3
2023-01-20,Airbnb,1,3060.35
2023-01-20,Meta,1,4544.94
2023-01-20,Organic,2,27490.1
2023-01-20,Other,2,6369.29
2023-01-21,Airbnb,1,1779.95
2023-01-22,Airbnb,1,8517.57
2023-01-22,Other,1,1765.57
2023-01-23,Organic,1,3577.41
2023-01-23,Other,1,1874.58
2023-01-24,Other,1,5446.31
2023-01-25,Other,3,13755.3
2023-01-26,Organic,1,5974.28
2023-01-27,Organic,3,16982.12
2023-01-27,Vrbo,1,5335.55
2023-01-28,Airbnb,2,10384.06
2023-01-28,Organic,1,1897.73
2023-01-28,Other,2,6692.98
2023-01-29,Other,2,6313.91
2023-01-29,Vrbo,1,6673.17
2023-01-30,Airbnb,2,7709.56
2023-01-30,Organic,1,2804.39
2023-01-31,Airbnb,2,22367.23
2023-01-31,Other,1,3194.0
2023-02-01,Other,4,12409.79
2023-02-02,Other,1,2218.96
2023-02-03,Airbnb,3,11978.09
2023-02-03,Other,2,6852.27
2023-02-04,Airbnb,1,13953.98
2023-02-05,Airbnb,1,10392.58
2023-02-05,Other,2,12457.21
2023-02-06,Other,1,8903.57
2023-02-07,Other,2,7778.95
2023-02-09,Other,2,4079.77
2023-02-10,Airbnb,1,3237.86
2023-02-10,Direct Mail,1,1597.0
2023-02-10,Other,3,17716.3
2023-02-10,Vrbo,1,2345.83
2023-02-11,Airbnb,1,8443.85
2023-02-11,Other,3,11639.82
2023-02-11,Vrbo,1,6799.8
2023-02-12,Other,1,1385.56
2023-02-13,Airbnb,1,2617.06
2023-02-13,Google,1,2510.0
2023-02-14,Organic,2,9779.96
2023-02-14,Other,4,51322.7
2023-02-15,Other,2,6834.26
2023-02-16,Airbnb,1,3060.97
2023-02-16,Other,3,8614.86
2023-02-17,Customer IO,1,8834.24
2023-02-17,Organic,1,5752.62
2023-02-17,Other,1,5043.0
2023-02-18,Organic,1,4205.25
2023-02-18,Other,3,12103.99
2023-02-19,Airbnb,2,19744.35
2023-02-19,Other,4,10184.15
2023-02-20,Airbnb,1,2765.47
2023-02-20,Organic,1,1711.7
2023-02-20,Other,1,2585.0
2023-02-21,Other,1,2872.81
2023-02-22,Airbnb,1,2862.47
2023-02-22,Organic,1,7521.62
2023-02-22,Other,3,32796.98
2023-02-23,Airbnb,1,1423.96
2023-02-23,Other,4,15272.07
2023-02-24,Organic,1,3783.87
2023-02-24,Other,9,108972.63
2023-02-25,Airbnb,1,2323.15
2023-02-25,Other,2,15389.96
2023-02-26,Airbnb,2,3825.68
2023-02-26,Google,1,4781.53
2023-02-26,Other,2,10105.45
2023-02-27,Airbnb,1,3356.2
2023-02-27,Other,1,2611.58
2023-02-28,Other,4,15842.09
2023-03-01,Other,4,14722.97
2023-03-02,Organic,1,7422.62
2023-03-02,Other,4,17545.56
2023-03-03,Airbnb,1,2866.35
2023-03-03,Organic,1,5301.54
2023-03-04,Airbnb,1,2168.92
2023-03-04,Google,3,24146.49
2023-03-04,Organic,2,3988.77
2023-03-04,Other,3,10124.81
2023-03-04,Vrbo,1,1061.11
2023-03-05,Google,1,5819.88
2023-03-05,Organic,1,3683.8
2023-03-05,Other,1,2120.63
2023-03-06,Airbnb,1,3981.85
2023-03-06,Organic,2,8949.25
2023-03-07,Organic,2,9254.12
2023-03-08,Airbnb,2,7323.63
2023-03-08,Organic,1,2532.52
2023-03-09,Organic,1,1942.52
2023-03-09,Other,1,2348.95
2023-03-10,Airbnb,1,10018.16
2023-03-10,Organic,1,2310.0
2023-03-10,Other,3,25461.36
2023-03-11,Organic,1,3146.6
2023-03-11,Other,1,2204.05
2023-03-12,Airbnb,2,21106.71
2023-03-12,Other,3,19745.56
2023-03-14,Airbnb,1,3369.7
2023-03-14,Organic,1,1958.7
2023-03-15,Organic,1,3565.68
2023-03-15,Other,3,13888.55
2023-03-15,Vrbo,1,3961.17
2023-03-16,Airbnb,2,6862.75
2023-03-16,Other,1,1997.74
2023-03-18,Airbnb,2,8563.35
2023-03-18,Organic,1,5002.0
2023-03-18,Other,2,6454.13
2023-03-19,Airbnb,1,4969.31
2023-03-19,Customer IO,1,3349.99
2023-03-19,Other,3,5805.9
2023-03-19,Vrbo,1,8911.6
2023-03-20,Other,2,8971.06
2023-03-21,Organic,1,3582.28
2023-03-21,Other,3,9876.13
2023-03-22,Airbnb,1,12386.9
2023-03-22,Other,3,14389.99
2023-03-23,Airbnb,2,3752.93
2023-03-23,Direct Mail,1,9159.5
2023-03-23,Other,1,2654.0
2023-03-24,Airbnb,3,5401.93
2023-03-25,Other,2,9332.38
2023-03-26,Airbnb,2,5523.18
2023-03-26,Organic,2,8372.54
2023-03-26,Other,1,6010.2
2023-03-27,Airbnb,1,5814.18
2023-03-27,Organic,5,15298.28
2023-03-27,Other,1,3088.96
2023-03-28,Airbnb,1,3121.11
2023-03-28,Other,2,3464.63
2023-03-29,Customer IO,1,3030.0
2023-03-29,Other,2,6445.49
2023-03-30,Airbnb,1,4209.8
2023-03-30,Direct Mail,1,4509.64
2023-03-30,Google,1,6609.92
2023-03-30,Organic,1,2568.85
2023-03-31,Airbnb,2,3895.52
2023-03-31,Other,1,2276.7
2023-04-01,Other,1,2185.0
2023-04-02,Airbnb,1,2622.88
2023-04-02,Direct Mail,1,3413.16
2023-04-02,Organic,3,51374.25
2023-04-02,Other,1,3795.24
2023-04-03,Direct Mail,1,5416.47
2023-04-03,Organic,3,8624.33
2023-04-03,Other,1,759.6
2023-04-04,Customer IO,1,3296.75
2023-04-04,Direct Mail,1,2614.36
2023-04-04,Organic,1,2326.51
2023-04-05,Airbnb,2,5882.08
2023-04-05,Google,1,6644.35
2023-04-05,Other,2,3073.49
2023-04-06,Airbnb,2,4535.14
2023-04-06,Other,1,2730.0
2023-04-07,Airbnb,1,990.76
2023-04-07,Direct Mail,2,5303.19
2023-04-07,Organic,1,6820.56
2023-04-08,Airbnb,1,1263.72
2023-04-08,Customer IO,1,14971.94
2023-04-08,Direct Mail,1,2330.72
2023-04-08,Other,1,2264.53
2023-04-09,Airbnb,1,1044.79
2023-04-09,Organic,3,5356.79
2023-04-10,Airbnb,1,6374.01
2023-04-10,Other,1,5821.2
2023-04-11,Organic,2,6243.99
2023-04-12,Organic,2,18394.27
2023-04-13,Airbnb,3,11205.78
2023-04-13,Organic,1,2455.95
2023-04-14,Airbnb,1,5058.55
2023-04-14,Booking,1,3268.98
2023-04-14,Customer IO,1,5188.12
2023-04-14,Organic,2,6045.23
2023-04-14,Other,1,3905.0
2023-04-15,Airbnb,1,1478.28
2023-04-15,Organic,1,2653.06
2023-04-15,Other,2,13034.31
2023-04-16,Airbnb,2,6390.17
2023-04-16,Organic,1,2503.8
2023-04-16,Other,1,3349.94
2023-04-17,Airbnb,1,7076.15
2023-04-18,Organic,1,3446.84
2023-04-19,Other,1,5694.01
2023-04-20,Booking,1,2043.82
2023-04-20,Customer IO,1,2318.78
2023-04-20,Organic,1,2450.13
2023-04-20,Other,5,22780.94
2023-04-21,Airbnb,2,5341.6
2023-04-21,Organic,1,1115.72
2023-04-22,Airbnb,1,3112.38
2023-04-22,Organic,2,7829.93
2023-04-22,Other,2,8200.83
2023-04-23,Airbnb,3,14385.04
2023-04-23,Direct Mail,1,5103.96
2023-04-23,Organic,1,2468.45
2023-04-23,Other,2,3488.72
2023-04-24,Other,2,4029.86
2023-04-25,Customer IO,1,3353.0
2023-04-25,Direct Mail,1,3866.0
2023-04-25,Organic,3,9020.6
2023-04-25,Other,1,2256.73
2023-04-26,Vrbo,2,16655.96
2023-04-27,Airbnb,1,9522.84
2023-04-27,Organic,2,14590.37
2023-04-28,Airbnb,1,2777.59
2023-04-28,Organic,4,11533.12
2023-04-29,Airbnb,2,4824.97
2023-04-29,Direct Mail,1,6530.0
2023-04-29,Organic,2,7810.52
2023-04-29,Other,3,7997.61
2023-04-30,Airbnb,1,934.04
2023-04-30,Google,1,1645.06
2023-04-30,Organic,2,8819.83
2023-04-30,Vrbo,1,1533.71
2023-05-01,Airbnb,2,14634.73
2023-05-01,Direct Mail,1,2400.58
2023-05-01,Other,1,976.01
2023-05-02,Airbnb,1,2725.98
2023-05-02,Organic,1,1837.32
2023-05-02,Other,3,7766.55
2023-05-02,Vrbo,1,4146.5
2023-05-03,Airbnb,2,6484.49
2023-05-03,Google,1,2698.5
2023-05-03,Organic,1,3551.72
2023-05-03,Other,1,3872.63
2023-05-04,Airbnb,2,2696.1
2023-05-04,Organic,2,4796.44
2023-05-05,Airbnb,1,3928.31
2023-05-05,Organic,4,15680.89
2023-05-06,Airbnb,5,17877.94
2023-05-06,Organic,2,3587.8
2023-05-06,Other,1,2164.95
2023-05-07,Organic,1,2699.95
2023-05-08,Airbnb,1,2982.75
2023-05-08,Other,1,4667.28
2023-05-09,Other,2,8064.6
2023-05-10,Airbnb,2,4533.98
2023-05-10,Other,1,8500.05
2023-05-11,Airbnb,3,9784.36
2023-05-11,Google,1,2555.0
2023-05-11,Organic,1,4708.9
2023-05-11,Other,1,6872.42
2023-05-12,Google,1,2358.51
2023-05-12,Other,1,9249.13
2023-05-13,Organic,1,1735.3
2023-05-13,Other,1,3755.0
2023-05-13,Vrbo,3,19430.78
2023-05-14,Organic,1,3220.0
2023-05-15,Organic,1,16417.35
2023-05-15,Other,1,3068.8
2023-05-16,Other,2,6241.88
2023-05-17,Airbnb,1,3427.55
2023-05-18,Airbnb,1,3762.44
2023-05-18,Organic,1,3596.4
2023-05-18,Vrbo,1,1462.38
2023-05-19,Airbnb,2,7065.7
2023-05-19,Organic,1,3071.37
2023-05-19,Other,1,3728.1
2023-05-20,Customer IO,1,6139.15
2023-05-21,Airbnb,4,29315.99
2023-05-22,Airbnb,3,13468.03
2023-05-22,Organic,1,4452.0
2023-05-23,Airbnb,2,4623.39
2023-05-23,Other,1,3229.2
2023-05-24,Other,1,1427.67
2023-05-25,Booking,1,2049.55
2023-05-26,Airbnb,1,2417.62
2023-05-26,Organic,1,1914.0
2023-05-27,Airbnb,1,10460.82
2023-05-28,Airbnb,2,14956.18
2023-05-28,Organic,1,2881.5
2023-05-28,Other,2,6213.7
2023-05-29,Organic,1,1651.97
2023-05-29,Other,1,1184.9
2023-05-30,Airbnb,1,2182.5
2023-05-30,Organic,1,2106.74
2023-05-30,Other,1,3632.8
2023-05-31,Airbnb,1,2861.17
2023-05-31,Criteo,1,7493.8
2023-05-31,Organic,1,2849.0
2023-05-31,Other,1,1914.0
2023-06-01,Airbnb,1,2246.52
2023-06-01,Google,1,3305.0
2023-06-01,Organic,1,1094.5
2023-06-02,Organic,1,3870.2
2023-06-02,Vrbo,1,4512.28
2023-06-03,Airbnb,1,4382.85
2023-06-03,Organic,1,5386.83
2023-06-03,Other,1,2290.23
2023-06-04,Organic,2,6385.8
2023-06-05,Airbnb,1,2261.67
2023-06-05,Other,1,3170.0
2023-06-06,Airbnb,1,10595.84
2023-06-06,Organic,1,3209.15
2023-06-06,Other,2,2583.57
2023-06-07,Organic,2,4470.42
2023-06-08,Airbnb,3,12369.44
2023-06-08,Google,1,3712.62
2023-06-08,Organic,1,3468.04
2023-06-08,Other,1,3284.28
2023-06-09,Airbnb,2,2747.72
2023-06-09,Other,1,1344.6
2023-06-09,Vrbo,1,3833.43
2023-06-10,Organic,2,9022.34
2023-06-11,Airbnb,1,1358.97
2023-06-11,Organic,4,21231.79
2023-06-11,Other,1,4935.0
2023-06-12,Airbnb,3,18219.19
2023-06-12,Organic,1,1544.7
2023-06-13,Airbnb,2,13006.39
2023-06-14,Meta,1,2690.74
2023-06-14,Organic,1,8270.61
2023-06-15,Airbnb,1,6580.78
2023-06-15,Organic,1,2752.32
2023-06-16,Vrbo,1,4884.99
2023-06-17,Airbnb,1,4317.97
2023-06-17,Direct Mail,1,2507.49
2023-06-17,Organic,2,11352.6
2023-06-17,Vrbo,1,1363.66
2023-06-18,Vrbo,1,3348.05
2023-06-19,Airbnb,1,4105.23
2023-06-19,Direct Mail,1,2483.74
2023-06-19,Organic,2,8201.82
2023-06-19,Other,1,2547.96
2023-06-20,Airbnb,2,8352.13
2023-06-20,Google,1,4817.4
2023-06-20,Organic,1,1879.2
2023-06-21,Customer IO,1,2106.74
2023-06-21,Google,1,1933.2
2023-06-21,Meta,1,2995.8
2023-06-22,Airbnb,1,2159.22
2023-06-22,Organic,1,2717.65
2023-06-23,Organic,1,6513.99
2023-06-23,Other,1,4262.4
2023-06-24,Airbnb,1,21714.47
2023-06-24,Customer IO,1,4942.81
2023-06-25,Google,1,2717.66
2023-06-25,Organic,2,3801.54
2023-06-25,Other,1,3187.92
2023-06-26,Other,1,7290.65
2023-06-27,Organic,1,4603.5
2023-06-27,Other,1,4169.71
2023-06-27,Vrbo,1,2790.36
2023-06-28,Customer IO,1,1461.16
2023-06-28,Other,1,15963.0
2023-06-29,Organic,1,1110.78
2023-06-29,Other,1,3735.2
2023-06-29,Vrbo,1,4097.68
2023-06-30,Airbnb,1,2368.74
2023-06-30,Organic,1,3516.8
2023-07-01,Airbnb,1,7226.52
2023-07-01,Organic,1,4218.5
2023-07-01,Other,2,5050.41
2023-07-03,Direct Mail,2,7535.76
2023-07-03,Influencer,1,4218.5
2023-07-03,Organic,1,3523.37
2023-07-04,Direct Mail,1,2815.86
2023-07-04,Organic,1,3107.5
2023-07-05,Airbnb,2,5013.55
2023-07-05,Other,1,5400.16
2023-07-06,Airbnb,1,2722.79
2023-07-06,Other,1,3929.4
2023-07-07,Organic,1,5906.24
2023-07-08,Airbnb,1,2054.46
2023-07-09,Other,2,8333.74
2023-07-10,Google,1,1836.8
2023-07-10,Other,1,2125.44
2023-07-10,Vrbo,1,3482.2
2023-07-11,Organic,1,1593.29
