date,channel,spend,clicks,impressions
2022-02-12,Meta,503.05,1046,47686
2022-02-13,Meta,515.97,1123,57073
2022-02-14,Meta,489.21,924,60465
2022-02-15,Meta,504.57,935,54367
2022-02-16,Meta,488.24,900,53388
2022-02-17,Meta,505.39,770,44097
2022-02-18,Meta,487.9,745,39705
2022-02-19,Meta,508.72,896,45295
2022-02-20,Meta,499.69,825,43994
2022-02-21,Meta,489.93,722,44574
2022-02-22,Meta,506.57,793,47604
2022-02-23,Meta,488.65,799,49665
2022-02-24,Meta,509.86,860,57364
2022-02-25,Meta,506.53,857,55662
2022-02-26,Meta,498.77,961,57298
2022-02-27,Meta,494.43,959,57221
2022-02-28,Meta,498.93,935,55631
2022-03-01,Meta,505.4,1036,70745
2022-03-02,Meta,499.8,1071,75384
2022-03-03,Meta,506.46,1145,76063
2022-03-04,Meta,493.95,1073,69228
2022-03-05,Meta,482.29,744,54178
2022-03-06,Meta,484.65,299,44924
2022-03-07,Meta,500.88,278,42882
2022-03-08,Meta,487.56,264,52502
2022-03-09,Influencer,154930.26,0,0
2022-03-09,Meta,510.91,262,48590
2022-03-10,Meta,508.16,196,46206
2022-03-11,Meta,508.49,227,46571
2022-03-12,Meta,499.35,248,44334
2022-03-13,Meta,540.97,296,51028
2022-03-14,Meta,542.01,295,53027
2022-03-15,Meta,555.51,247,49414
2022-03-16,Meta,553.73,225,57018
2022-03-17,Meta,551.47,230,61214
2022-03-18,Meta,535.68,202,59289
2022-03-19,Meta,551.67,203,54795
2022-03-20,Meta,554.63,207,59162
2022-03-21,Meta,556.74,265,60827
2022-03-22,Meta,557.91,277,54795
2022-03-23,Meta,555.48,261,56442
2022-03-24,Meta,616.17,408,62937
2022-03-25,Meta,616.15,407,62962
2022-03-26,Meta,686.74,442,67046
2022-03-27,Meta,879.67,1353,104632
2022-03-28,Meta,804.31,1472,117344
2022-03-29,Meta,917.61,1401,106241
2022-03-30,Meta,940.53,1452,114992
2022-03-31,Meta,978.79,1405,135111
2022-04-01,Meta,946.26,1553,145031
2022-04-02,Meta,796.99,1380,108021
2022-04-03,Meta,815.66,1515,141009
2022-04-04,Meta,731.61,1255,126428
2022-04-05,Meta,641.88,1020,100530
2022-04-06,Meta,583.43,1022,94822
2022-04-07,Meta,552.06,974,90574
2022-04-08,Meta,560.04,878,82980
2022-04-09,Meta,680.15,994,99078
2022-04-10,Meta,687.53,1226,111858
2022-04-11,Meta,670.43,1046,113170
2022-04-12,Meta,608.09,943,100968
2022-04-13,Meta,635.42,984,101429
2022-04-14,Influencer,35000.0,0,0
2022-04-14,Meta,632.21,830,92577
2022-04-15,Meta,598.94,858,89278
2022-04-16,Meta,607.14,926,95806
2022-04-17,Meta,631.78,999,96487
2022-04-18,Meta,513.41,732,78016
2022-04-19,Meta,501.97,580,62284
2022-04-20,Meta,496.6,614,58296
2022-04-21,Meta,1916.18,2172,159234
2022-04-22,Meta,1883.83,2249,166593
2022-04-23,Meta,1964.26,2317,159769
2022-04-24,Meta,1950.69,2132,147770
2022-04-25,Meta,1899.71,1919,164549
2022-04-26,Meta,1639.3,1546,128346
2022-04-27,Meta,1519.71,1323,108060
2022-04-28,Meta,1468.3,1157,101782
2022-04-29,Influencer,1364.98,0,0
2022-04-29,Meta,1445.51,1184,101605
2022-04-30,Meta,1495.32,1413,113439
2022-05-01,Meta,1595.17,1796,138196
2022-05-02,Meta,1122.77,966,124738
2022-05-03,Meta,1000.4,835,124100
2022-05-04,Meta,1107.04,943,135342
2022-05-05,Meta,1037.38,759,118655
2022-05-06,Meta,1516.83,1328,163829
2022-05-07,Meta,1669.7,1457,155840
2022-05-08,Meta,1749.01,1546,207795
2022-05-09,Google,104.04,17,4431
2022-05-09,Influencer,10500.0,0,0
2022-05-09,Meta,1693.69,1425,191451
2022-05-10,Google,102.27,26,1139
2022-05-10,Meta,1581.68,1191,163830
2022-05-11,Google,185.95,53,10404
2022-05-11,Meta,1567.73,1210,158802
2022-05-12,Google,39.92,31,1482
2022-05-12,Influencer,137.5,0,0
2022-05-12,Meta,1545.09,1136,151515
2022-05-13,Google,46.83,20,17417
2022-05-13,Meta,1878.12,1242,166756
2022-05-14,Google,50.01,24,27800
2022-05-14,Meta,2389.52,1692,193305
2022-05-15,Google,47.24,11,17765
2022-05-15,Meta,2487.31,1796,212512
2022-05-16,Google,28.3,17,1279
2022-05-16,Meta,2303.27,1656,221586
2022-05-17,Google,105.02,54,9317
2022-05-17,Meta,2309.19,1629,193388
2022-05-18,Google,91.72,53,4699
2022-05-18,Meta,2245.06,1924,197070
2022-05-19,Google,71.6,58,1504
2022-05-19,Meta,1973.53,1563,187386
2022-05-20,Google,78.79,74,1829
2022-05-20,Meta,2167.72,1497,182965
2022-05-21,Google,82.55,67,1692
2022-05-21,Meta,2260.19,1486,179166
2022-05-22,Google,76.01,95,2288
2022-05-22,Meta,1037.47,907,86895
2022-05-23,Google,77.85,129,2349
2022-05-23,Meta,2364.04,1972,227535
2022-05-24,Google,71.1,109,2230
2022-05-24,Meta,2234.65,2294,209394
2022-05-25,Google,123.46,162,3404
2022-05-25,Meta,2246.37,2639,233075
2022-05-26,Google,94.58,174,3701
2022-05-26,Meta,2192.86,2415,256136
2022-05-27,Google,124.49,206,4063
2022-05-27,Meta,1664.4,1719,169439
2022-05-28,Google,110.34,192,5705
2022-05-28,Meta,2371.78,2451,189562
2022-05-29,Google,108.47,177,4484
2022-05-29,Meta,2319.53,2741,214565
2022-05-30,Google,102.63,171,3900
2022-05-30,Meta,2256.78,2911,243657
2022-05-31,Google,89.88,173,3155
2022-05-31,Meta,2201.4,2874,245747
2022-06-01,Google,99.92,155,3305
2022-06-01,Meta,2160.29,3356,237550
2022-06-02,Google,89.72,176,3848
2022-06-02,Meta,2097.31,3641,214521
2022-06-03,Google,118.53,192,3866
2022-06-03,Meta,2203.88,3551,228597
2022-06-04,Google,143.75,225,4024
2022-06-04,Meta,2278.32,3704,232968
2022-06-05,Google,124.11,216,2987
2022-06-05,Meta,2354.21,3830,256126
2022-06-06,Google,146.46,234,3618
2022-06-06,Meta,2296.47,3450,252935
2022-06-07,Google,167.86,239,3994
2022-06-07,Meta,2256.63,3176,227956
2022-06-08,Google,169.59,306,3748
2022-06-08,Meta,2227.59,3136,221026
2022-06-09,Google,184.03,269,3458
2022-06-09,Meta,2147.93,3003,211817
2022-06-10,Google,252.95,253,4938
2022-06-10,Meta,2186.71,3077,223351
2022-06-11,Google,181.56,286,6149
2022-06-11,Meta,2318.68,3285,247170
2022-06-12,Google,272.18,340,8236
2022-06-12,Influencer,11666.66,0,0
2022-06-12,Meta,2394.22,3510,266150
2022-06-13,Google,179.2,343,5770
2022-06-13,Meta,2459.3,3413,290287
2022-06-14,Google,173.13,301,5195
2022-06-14,Meta,2440.52,3239,264361
2022-06-15,Google,161.75,304,11829
2022-06-15,Meta,2421.2,3106,249183
2022-06-16,Google,189.57,292,12544
2022-06-16,Meta,2423.72,2933,259415
2022-06-17,Google,209.42,314,13502
2022-06-17,Meta,2392.49,2993,257809
2022-06-18,Google,179.61,296,11541
2022-06-18,Meta,2473.95,3057,255193
2022-06-19,Google,183.96,335,10319
2022-06-19,Meta,2643.74,1592,193054
2022-06-20,Google,199.96,250,13405
2022-06-20,Meta,2441.1,2397,213480
2022-06-21,Google,217.05,335,15201
2022-06-21,Meta,2419.2,2599,225831
2022-06-22,Google,319.37,589,17968
2022-06-22,Meta,2398.51,2478,208424
2022-06-23,Google,267.8,696,16665
2022-06-23,Meta,2396.13,2349,201600
2022-06-24,Google,231.34,523,11363
2022-06-24,Meta,2403.7,2204,220170
2022-06-25,Google,232.17,548,11115
2022-06-25,Meta,2447.62,2557,236172
2022-06-26,Google,285.75,824,17839
2022-06-26,Meta,2602.66,2907,253262
2022-06-27,Google,344.24,911,21892
2022-06-27,Meta,2508.92,2677,247463
2022-06-28,Google,241.55,524,13789
2022-06-28,Meta,2415.34,2037,202020
2022-06-29,Google,331.57,773,17708
2022-06-29,Meta,2100.61,1996,184964
2022-06-30,Google,291.13,791,13984
2022-06-30,Influencer,20000.0,0,0
2022-06-30,Meta,1505.65,1477,153680
2022-07-01,Google,320.96,834,17054
2022-07-01,Meta,1417.62,1670,179669
2022-07-02,Google,332.75,1006,16155
2022-07-02,Meta,1296.1,1397,156443
2022-07-03,Google,315.13,1063,15572
2022-07-03,Meta,1297.45,1530,166960
2022-07-04,Google,319.64,946,16403
2022-07-04,Meta,1290.72,1647,194030
2022-07-05,Google,324.08,841,15735
2022-07-05,Meta,1223.28,1564,203961
2022-07-06,Google,302.58,636,9214
2022-07-06,Meta,1218.48,1500,182639
2022-07-07,Google,305.92,573,8726
2022-07-07,Meta,1209.1,1451,164438
2022-07-08,Google,285.31,298,4232
2022-07-08,Influencer,-0.66,0,0
2022-07-08,Meta,1235.5,1413,171158
2022-07-09,Google,287.53,274,3952
2022-07-09,Meta,1275.47,1562,167360
2022-07-10,Google,321.19,304,4946
2022-07-10,Meta,1302.36,1733,173926
2022-07-11,Google,310.53,292,4889
2022-07-11,Meta,1270.25,1452,169162
2022-07-12,Google,285.31,284,4892
2022-07-12,Meta,1203.91,1213,154388
2022-07-13,Google,256.65,276,4951
2022-07-13,Meta,1217.47,1361,146767
2022-07-14,Google,229.84,246,4634
2022-07-14,Meta,1204.21,1300,155578
2022-07-15,Google,180.0,189,3836
2022-07-15,Meta,1232.23,1352,165052
2022-07-16,Google,265.02,296,4982
2022-07-16,Meta,1310.53,1506,180849
2022-07-17,Google,385.93,338,6495
2022-07-17,Meta,1310.88,1701,183528
2022-07-18,Google,359.59,297,5906
2022-07-18,Influencer,10586.13,0,0
2022-07-18,Meta,1348.47,1785,201546
2022-07-19,Google,339.86,287,6433
2022-07-19,Meta,1238.96,1492,170947
2022-07-20,Google,333.39,301,6153
2022-07-20,Meta,1219.4,1403,176976
2022-07-21,Google,230.5,249,5035
2022-07-21,Meta,1223.57,1313,161985
2022-07-22,Google,175.94,223,4690
2022-07-22,Meta,1241.77,1118,144530
2022-07-23,Google,224.11,242,5134
2022-07-23,Meta,1321.79,1407,157360
2022-07-24,Google,286.93,304,6502
2022-07-24,Meta,1271.34,1313,157122
2022-07-25,Google,203.07,245,5580
2022-07-25,Meta,1250.93,1307,162529
2022-07-26,Google,363.41,308,6052
2022-07-26,Meta,1232.06,1284,148205
2022-07-27,Google,345.08,307,5075
2022-07-27,Meta,1260.47,1207,143550
2022-07-28,Google,326.11,292,6270
2022-07-28,Meta,1243.04,1285,164273
2022-07-29,Google,239.07,238,4528
2022-07-29,Meta,1218.64,1341,168079
2022-07-30,Google,201.1,238,5519
2022-07-30,Meta,1273.52,1483,158114
2022-07-31,Google,191.99,204,15091
2022-07-31,Meta,1312.53,1438,168854
2022-08-01,Google,649.29,415,62294
2022-08-01,Influencer,4500.0,0,0
2022-08-01,Meta,1288.83,1429,168067
2022-08-02,Google,704.62,451,67930
2022-08-02,Meta,1330.73,1318,154738
2022-08-03,Google,669.26,445,66873
2022-08-03,Meta,1376.72,1340,174155
2022-08-04,Google,611.57,327,65367
2022-08-04,Meta,1223.87,1269,178071
2022-08-05,Google,636.42,324,45397
2022-08-05,Meta,1462.48,1359,190647
2022-08-06,Google,675.98,405,44825
2022-08-06,Meta,1751.3,1915,234244
2022-08-07,Google,686.22,358,47639
2022-08-07,Meta,1773.11,1830,243942
2022-08-08,Google,719.47,385,38713
2022-08-08,Meta,1754.61,1781,236619
2022-08-09,Google,790.67,427,41871
2022-08-09,Meta,1667.47,1672,225801
2022-08-10,Google,716.67,417,37322
2022-08-10,Meta,1594.93,1651,226944
2022-08-11,Google,812.08,432,37159
2022-08-11,Meta,1595.41,1489,208151
2022-08-12,Google,659.2,359,36045
2022-08-12,Meta,1587.2,1546,198103
2022-08-13,Google,716.6,365,35531
2022-08-13,Meta,1572.78,1603,203473
2022-08-14,Google,736.44,426,36924
2022-08-14,Meta,1657.91,1673,223982
2022-08-15,Google,833.68,469,36523
2022-08-15,Meta,1642.58,1639,213526
2022-08-16,Google,462.84,330,13652
2022-08-16,Influencer,4505.9,0,0
2022-08-16,Meta,1607.84,1521,190739
2022-08-17,Google,479.78,356,13422
2022-08-17,Meta,1556.02,1645,186746
2022-08-18,Google,621.99,399,13404
2022-08-18,Meta,1540.96,1570,171952
2022-08-19,Google,507.95,378,11492
2022-08-19,Meta,1596.11,1657,177001
2022-08-20,Google,490.64,348,12846
2022-08-20,Meta,1598.58,1754,187500
2022-08-21,Google,517.59,370,12914
2022-08-21,Meta,1639.76,1895,198323
2022-08-22,Google,537.9,328,20489
2022-08-22,Influencer,8000.0,0,0
2022-08-22,Meta,1608.44,1727,205490
2022-08-23,Google,464.19,318,16679
2022-08-23,Meta,1612.96,1738,204353
2022-08-24,Google,392.77,260,16411
2022-08-24,Meta,1564.62,1545,190210
2022-08-25,Google,315.02,206,15772
2022-08-25,Meta,1568.25,1506,174026
2022-08-26,Google,519.66,314,15911
2022-08-26,Meta,1471.22,1268,166877
2022-08-27,Google,429.14,264,15127
2022-08-27,Meta,1513.65,1361,170552
2022-08-28,Google,451.91,300,16317
2022-08-28,Meta,1556.9,1510,188512
2022-08-29,Google,449.99,291,9072
2022-08-29,Meta,1541.62,1289,180782
2022-08-30,Google,411.17,284,9540
2022-08-30,Meta,1504.86,1238,169169
2022-08-31,Google,297.46,226,8208
2022-08-31,Meta,1464.44,1230,175651
2022-09-01,Google,374.91,244,10793
2022-09-01,Meta,1369.34,1262,178707
2022-09-02,Google,322.82,227,5054
2022-09-02,Meta,1163.42,1037,147771
2022-09-03,Google,153.46,121,2528
2022-09-03,Meta,1098.88,888,124162
2022-09-04,Google,130.14,118,2448
2022-09-04,Meta,1143.25,940,138887
2022-09-05,Google,141.82,135,2922
2022-09-05,Meta,706.89,728,83615
2022-09-06,Google,145.95,131,2879
2022-09-06,Meta,192.21,286,27476
2022-09-07,Google,157.7,145,2664
2022-09-07,Meta,384.53,460,53376
2022-09-08,Google,129.7,118,2257
2022-09-08,Meta,850.24,408,53265
2022-09-09,Google,89.93,97,1762
2022-09-09,Meta,1097.41,1183,127335
2022-09-10,Google,153.9,134,2397
2022-09-10,Meta,1105.73,1308,127674
2022-09-11,Google,197.68,169,3030
2022-09-11,Meta,1141.43,1343,132165
2022-09-12,Google,260.31,159,9599
2022-09-12,Meta,1130.0,976,117004
2022-09-13,Google,238.02,180,12262
2022-09-13,Meta,1059.65,864,95830
2022-09-14,Google,215.03,137,13671
2022-09-14,Meta,1162.13,907,97064
2022-09-15,Google,248.52,157,14745
2022-09-15,Meta,1172.59,1004,107099
2022-09-16,Google,197.92,119,12416
2022-09-16,Meta,1142.01,908,107021
2022-09-17,Google,116.25,117,1759
2022-09-17,Meta,1209.49,1052,112191
2022-09-18,Google,102.06,114,2021
2022-09-18,Meta,1251.46,1097,129082
2022-09-19,Google,129.52,138,2490
2022-09-19,Meta,1237.71,989,120964
2022-09-20,Google,138.24,138,2311
2022-09-20,Meta,1180.63,886,103467
2022-09-21,Google,120.36,123,2463
2022-09-21,Influencer,6500.0,0,0
2022-09-21,Meta,1184.09,821,97498
2022-09-22,Google,114.45,117,2283
2022-09-22,Meta,1177.35,860,96468
2022-09-23,Google,129.79,125,2298
2022-09-23,Meta,359.43,181,22671
2022-09-24,Google,116.06,117,1960
2022-09-24,Meta,267.16,130,15279
2022-09-25,Google,155.16,155,2651
2022-09-25,Meta,1256.15,1031,113710
2022-09-26,Google,244.28,159,9601
2022-09-26,Influencer,3883.42,0,0
2022-09-26,Meta,1234.32,1005,114368
2022-09-27,Google,185.38,179,12025
2022-09-27,Meta,1208.47,788,99447
2022-09-28,Google,159.84,86,13442
2022-09-28,Meta,1184.33,779,89249
2022-09-29,Google,256.55,193,13471
2022-09-29,Meta,1161.8,806,97040
2022-09-30,Google,134.02,116,2094
2022-09-30,Influencer,13000.0,0,0
2022-09-30,Meta,1174.36,752,90527
2022-10-01,Google,121.49,113,2221
2022-10-01,Influencer,1000.0,0,0
2022-10-01,Meta,1180.57,851,105413
2022-10-02,Google,151.17,135,3073
2022-10-02,Meta,1264.85,949,126104
2022-10-03,Google,273.81,166,17132
2022-10-03,Meta,1231.13,934,125328
2022-10-04,Google,287.05,167,17018
2022-10-04,Meta,1200.55,877,118639
2022-10-05,Google,216.71,140,9007
2022-10-05,Meta,1178.71,848,100059
2022-10-06,Google,205.99,162,20777
2022-10-06,Meta,1178.08,899,111924
2022-10-07,Google,155.51,111,11907
2022-10-07,Meta,1163.41,891,114544
2022-10-08,Google,117.03,148,75120
2022-10-08,Meta,1081.38,922,112797
2022-10-09,Google,148.37,220,108562
2022-10-09,Influencer,826.19,0,0
2022-10-09,Meta,1056.59,922,124545
2022-10-10,Google,133.18,128,10187
2022-10-10,Meta,1031.09,932,132703
2022-10-11,Google,103.2,146,112600
2022-10-11,Meta,997.85,782,107564
2022-10-12,Google,103.83,101,7233
2022-10-12,Meta,981.68,736,90860
2022-10-13,Google,140.96,127,6811
2022-10-13,Meta,976.48,763,108029
2022-10-14,Google,143.6,116,2698
2022-10-14,Meta,1219.84,823,110670
2022-10-15,Google,113.65,87,3231
2022-10-15,Meta,28.21,9,2243
2022-10-16,Google,141.57,116,8082
2022-10-16,Meta,106.64,21,2807
2022-10-17,Google,240.43,128,24734
2022-10-17,Meta,200.06,20,3776
2022-10-18,Google,236.55,127,21353
2022-10-18,Meta,558.06,74,14013
2022-10-19,Google,235.17,123,20779
2022-10-19,Influencer,3250.0,0,0
2022-10-19,Meta,798.73,435,48884
2022-10-20,Google,234.37,136,23357
2022-10-20,Meta,1048.83,767,87499
2022-10-21,Google,161.0,107,8650
2022-10-21,Meta,1168.75,746,81489
2022-10-22,Google,125.93,102,4204
2022-10-22,Meta,1276.63,873,84079
2022-10-23,Google,144.98,135,24090
2022-10-23,Meta,1377.71,1020,95568
2022-10-24,Google,137.96,132,14680
2022-10-24,Influencer,3250.0,0,0
2022-10-24,Meta,1344.25,1081,105363
2022-10-25,Google,149.94,122,9745
2022-10-25,Influencer,3915.02,0,0
2022-10-25,Meta,1339.17,1239,107299
2022-10-26,Google,174.74,143,16450
2022-10-26,Meta,1472.29,1323,125419
2022-10-27,Google,114.34,109,8382
2022-10-27,Meta,1488.09,1185,107167
2022-10-28,Google,135.02,119,9482
2022-10-28,Meta,1705.08,1459,118489
2022-10-29,Google,139.64,115,13045
2022-10-29,Meta,1757.73,1844,110199
2022-10-30,Google,172.19,136,6801
2022-10-30,Meta,1809.82,1635,115670
2022-10-31,Google,200.98,103,18882
2022-10-31,Meta,1816.97,1730,144956
2022-11-01,Google,211.21,138,16638
2022-11-01,Influencer,4250.0,0,0
2022-11-01,Meta,1604.17,1289,130473
2022-11-02,Google,207.63,157,22051
2022-11-02,Meta,1444.79,1219,118896
2022-11-03,Google,211.41,143,11399
2022-11-03,Meta,1437.01,1264,124082
2022-11-04,Google,189.19,118,16486
2022-11-04,Meta,1543.81,1411,128851
2022-11-05,Google,179.4,112,11748
2022-11-05,Meta,1529.19,1352,123852
2022-11-06,Google,184.58,140,16943
2022-11-06,Influencer,11000.0,0,0
2022-11-06,Meta,1569.88,1316,126875
2022-11-07,Google,186.13,148,20901
2022-11-07,Meta,1498.11,1136,122596
2022-11-08,Google,218.6,175,41992
2022-11-08,Meta,1434.44,835,101598
2022-11-09,Google,192.69,128,15079
2022-11-09,Influencer,1000.0,0,0
2022-11-09,Meta,1595.3,877,133695
2022-11-10,Google,213.69,179,16076
2022-11-10,Meta,1546.75,886,120655
2022-11-11,Google,156.93,127,9311
2022-11-11,Meta,1582.43,956,121591
2022-11-12,Google,142.23,105,13620
2022-11-12,Meta,1622.73,951,109275
2022-11-13,Google,207.3,157,19336
2022-11-13,Meta,1671.1,1024,119964
2022-11-14,Google,268.45,188,22511
2022-11-14,Influencer,11000.0,0,0
2022-11-14,Meta,1593.62,926,106821
2022-11-15,Google,232.03,168,22544
2022-11-15,Meta,1515.71,843,99421
2022-11-16,Google,224.04,140,18896
2022-11-16,Meta,1486.72,850,93500
2022-11-17,Google,210.2,120,8786
2022-11-17,Meta,1481.26,745,97720
2022-11-18,Google,181.08,82,17615
2022-11-18,Meta,1478.02,865,103367
2022-11-19,Google,245.61,112,13504
2022-11-19,Meta,1513.69,832,98819
2022-11-20,Google,264.58,132,17347
2022-11-20,Meta,1619.17,952,108089
2022-11-21,Google,262.5,138,11715
2022-11-21,Meta,1558.65,864,107002
2022-11-22,Google,256.02,132,20083
2022-11-22,Meta,1513.43,736,96939
2022-11-23,Google,240.24,108,15990
2022-11-23,Meta,1480.03,645,84210
2022-11-24,Google,226.73,95,16421
2022-11-24,Meta,1478.62,623,87584
2022-11-25,Google,227.07,115,17363
2022-11-25,Meta,1477.78,639,75399
2022-11-26,Google,269.09,168,18127
2022-11-26,Meta,1512.32,784,88437
2022-11-27,Google,277.7,175,19031
2022-11-27,Meta,1603.76,995,111356
2022-11-28,Google,234.98,137,23116
2022-11-28,Meta,1451.52,628,97388
2022-11-29,Google,228.18,128,21554
2022-11-29,Meta,1405.83,526,100694
2022-11-30,Google,195.3,119,16226
2022-11-30,Influencer,11666.0,0,0
2022-11-30,Meta,1364.31,524,104026
2022-12-01,Google,197.06,87,16844
2022-12-01,Influencer,3250.0,0,0
2022-12-01,Meta,1363.85,587,107265
2022-12-02,Google,264.13,144,15980
2022-12-02,Influencer,15000.0,0,0
2022-12-02,Meta,1380.7,564,113259
2022-12-03,Google,285.74,145,14703
2022-12-03,Meta,1456.91,692,107876
2022-12-04,Google,261.75,169,18972
2022-12-04,Influencer,6094.15,0,0
2022-12-04,Meta,1491.21,733,108930
2022-12-05,Google,255.42,150,26954
2022-12-05,Meta,1395.77,620,101734
2022-12-06,Google,231.69,121,18622
2022-12-06,Meta,1401.77,631,99191
2022-12-07,Google,265.2,150,25465
2022-12-07,Meta,1421.17,670,99772
2022-12-08,Google,255.93,109,21442
2022-12-08,Meta,1424.55,694,97665
2022-12-09,Google,244.56,118,18376
2022-12-09,Meta,1439.42,634,92225
2022-12-10,Google,269.32,185,19367
2022-12-10,Meta,1470.11,693,98886
2022-12-11,Google,288.03,175,16726
2022-12-11,Meta,1564.1,737,93259
2022-12-12,Google,218.22,244,31200
2022-12-12,Influencer,15000.0,0,0
2022-12-12,Meta,1492.95,560,100125
2022-12-13,Google,171.45,142,24533
2022-12-13,Meta,1551.73,632,91955
2022-12-14,Google,378.45,185,45309
2022-12-14,Meta,1417.26,503,78568
2022-12-15,Google,834.25,439,218841
